CRITICAL:root:classifier = models/smalluav_gnb_clf_1-5sec.pkl
CRITICAL:root:threat_value = uav
CRITICAL:root:recording_time = 1.5
CRITICAL:root:number_of_saved_noises = 50
CRITICAL:root:[2021-02-23 20:54:25.284500] Tower wt1 dev = 0.0006525135000000001 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:25.683533] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270162008193; -86.95005837725128]
CRITICAL:root:[2021-02-23 20:54:25.683533] Tower wt1 dev = 0.0006525135000000001 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:26.976507] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270598042255; -86.95044426739624]
CRITICAL:root:[2021-02-23 20:54:26.976507] Tower wt1 dev = 0.0018708024999999993 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:27.199678] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272228257111; -86.9507635617057]
CRITICAL:root:[2021-02-23 20:54:27.199678] Tower wt1 dev = 0.0018708024999999993 ; Tower wt2 dev = 7.986400000000067e-05 
CRITICAL:root:[2021-02-23 20:54:28.266972] Towers wt1 and wt2 spotted a threat. Coordinates [40.41275501881213; -86.95066644419069]
CRITICAL:root:[2021-02-23 20:54:28.266972] Tower wt1 dev = 0.0018708024999999993 ; Tower wt2 dev = 0.000330304 
CRITICAL:root:[2021-02-23 20:54:29.281364] Towers wt1 and wt2 spotted a threat. Coordinates [40.41273338131096; -86.95073063544415]
CRITICAL:root:[2021-02-23 20:54:29.281364] Tower wt1 dev = 0.003907747499999999 ; Tower wt2 dev = 0.000330304 
CRITICAL:root:[2021-02-23 20:54:29.377936] Towers wt1 and wt2 spotted a threat. Coordinates [40.41273338131096; -86.95073063544415]
CRITICAL:root:[2021-02-23 20:54:29.377936] Tower wt1 dev = 0.003907747499999999 ; Tower wt2 dev = 0.000330304 
CRITICAL:root:[2021-02-23 20:54:30.293859] Towers wt1 and wt2 spotted a threat. Coordinates [40.41271319593865; -86.95079051871532]
CRITICAL:root:[2021-02-23 20:54:30.293859] Tower wt1 dev = 0.003907747499999999 ; Tower wt2 dev = 4.207800000000095e-05 
CRITICAL:root:[2021-02-23 20:54:31.277142] Towers wt1 and wt2 spotted a threat. Coordinates [40.412718304873884; -86.95077536220748]
CRITICAL:root:[2021-02-23 20:54:31.277142] Tower wt1 dev = 0.001477921 ; Tower wt2 dev = 4.207800000000095e-05 
CRITICAL:root:[2021-02-23 20:54:31.388555] Towers wt1 and wt2 spotted a threat. Coordinates [40.412718304873884; -86.95077536220748]
CRITICAL:root:[2021-02-23 20:54:31.388555] Tower wt1 dev = 0.001477921 ; Tower wt2 dev = 4.207800000000095e-05 
CRITICAL:root:[2021-02-23 20:54:32.327388] Towers wt1 and wt2 spotted a threat. Coordinates [40.412769262143; -86.95062418897575]
CRITICAL:root:[2021-02-23 20:54:32.327388] Tower wt1 dev = 0.001477921 ; Tower wt2 dev = 0.00036381800000000013 
CRITICAL:root:[2021-02-23 20:54:33.214991] Towers wt1 and wt2 spotted a threat. Coordinates [40.41280089216312; -86.95053035324939]
CRITICAL:root:[2021-02-23 20:54:33.214991] Tower wt1 dev = 0.000837005 ; Tower wt2 dev = 0.00036381800000000013 
CRITICAL:root:[2021-02-23 20:54:33.391020] Towers wt1 and wt2 spotted a threat. Coordinates [40.41280089216312; -86.95053035324939]
CRITICAL:root:[2021-02-23 20:54:33.391020] Tower wt1 dev = 0.000837005 ; Tower wt2 dev = 0.00036381800000000013 
CRITICAL:root:[2021-02-23 20:54:34.449807] Towers wt1 and wt2 spotted a threat. Coordinates [40.41282379751435; -86.95046240070744]
CRITICAL:root:[2021-02-23 20:54:34.449807] Tower wt1 dev = 0.000837005 ; Tower wt2 dev = 0.0005115349999999987 
CRITICAL:root:[2021-02-23 20:54:35.201541] Towers wt1 and wt2 spotted a threat. Coordinates [40.41285247801003; -86.9503773152369]
CRITICAL:root:[2021-02-23 20:54:35.201541] Tower wt1 dev = 0.0005655470000000013 ; Tower wt2 dev = 0.0005115349999999987 
CRITICAL:root:[2021-02-23 20:54:36.457992] Towers wt1 and wt2 spotted a threat. Coordinates [40.412808598078975; -86.9505074923657]
CRITICAL:root:[2021-02-23 20:54:36.457992] Tower wt1 dev = 0.0005655470000000013 ; Tower wt2 dev = 0.0002768684999999993 
CRITICAL:root:[2021-02-23 20:54:37.143665] Towers wt1 and wt2 spotted a threat. Coordinates [40.412799460510165; -86.9505346004865]
CRITICAL:root:[2021-02-23 20:54:37.143665] Tower wt1 dev = 0.0006515919999999994 ; Tower wt2 dev = 0.0002768684999999993 
CRITICAL:root:[2021-02-23 20:54:38.743837] Towers wt1 and wt2 spotted a threat. Coordinates [40.412768101616386; -86.95062763187138]
CRITICAL:root:[2021-02-23 20:54:38.743837] Tower wt1 dev = 0.0006515919999999994 ; Tower wt2 dev = 0.00015650599999999897 
CRITICAL:root:[2021-02-23 20:54:39.313167] Towers wt1 and wt2 spotted a threat. Coordinates [40.412809465933954; -86.95050491772926]
CRITICAL:root:[2021-02-23 20:54:39.313167] Tower wt1 dev = 0.0003155330000000015 ; Tower wt2 dev = 0.00015650599999999897 
CRITICAL:root:[2021-02-23 20:54:40.707849] Towers wt1 and wt2 spotted a threat. Coordinates [40.41275550472306; -86.95066500265492]
CRITICAL:root:[2021-02-23 20:54:40.707849] Tower wt1 dev = 0.0003155330000000015 ; Tower wt2 dev = 5.6418500000000524e-05 
CRITICAL:root:[2021-02-23 20:54:41.300851] Towers wt1 and wt2 spotted a threat. Coordinates [40.412726923476875; -86.95074979368528]
CRITICAL:root:[2021-02-23 20:54:41.300851] Tower wt1 dev = 0.0009437039999999983 ; Tower wt2 dev = 5.6418500000000524e-05 
CRITICAL:root:[2021-02-23 20:54:42.658333] Towers wt1 and wt2 spotted a threat. Coordinates [40.412772915248276; -86.95061335143012]
CRITICAL:root:[2021-02-23 20:54:42.658333] Tower wt1 dev = 0.0009437039999999983 ; Tower wt2 dev = 0.0002504310000000006 
CRITICAL:root:[2021-02-23 20:54:43.295785] Towers wt1 and wt2 spotted a threat. Coordinates [40.41279373749338; -86.95055157876962]
CRITICAL:root:[2021-02-23 20:54:43.295785] Tower wt1 dev = 0.00064676925 ; Tower wt2 dev = 0.0002504310000000006 
CRITICAL:root:[2021-02-23 20:54:44.861513] Towers wt1 and wt2 spotted a threat. Coordinates [40.412802858239026; -86.95052452055756]
CRITICAL:root:[2021-02-23 20:54:44.861513] Tower wt1 dev = 0.00064676925 ; Tower wt2 dev = 0.0002899359999999993 
CRITICAL:root:[2021-02-23 20:54:45.450436] Towers wt1 and wt2 spotted a threat. Coordinates [40.41283210235067; -86.95043776302634]
CRITICAL:root:[2021-02-23 20:54:45.450436] Tower wt1 dev = 0.00042242375000000124 ; Tower wt2 dev = 0.0002899359999999993 
CRITICAL:root:[2021-02-23 20:54:46.814784] Towers wt1 and wt2 spotted a threat. Coordinates [40.412775870668; -86.95060458368494]
CRITICAL:root:[2021-02-23 20:54:46.814784] Tower wt1 dev = 0.00042242375000000124 ; Tower wt2 dev = 0.00011884599999999884 
CRITICAL:root:[2021-02-23 20:54:47.404218] Towers wt1 and wt2 spotted a threat. Coordinates [40.41284023981297; -86.95041362188819]
CRITICAL:root:[2021-02-23 20:54:47.404218] Tower wt1 dev = 0.00015490899999999995 ; Tower wt2 dev = 0.00011884599999999884 
CRITICAL:root:[2021-02-23 20:54:48.958612] Towers wt1 and wt2 spotted a threat. Coordinates [40.4127326578422; -86.9507327817348]
CRITICAL:root:[2021-02-23 20:54:48.958612] Tower wt1 dev = 0.00015490899999999995 ; Tower wt2 dev = 1.2655500000000042e-05 
CRITICAL:root:[2021-02-23 20:54:49.808566] Towers wt1 and wt2 spotted a threat. Coordinates [40.41274802639156; -86.95068718837169]
CRITICAL:root:[2021-02-23 20:54:49.808566] Tower wt1 dev = 8.718700000000072e-05 ; Tower wt2 dev = 1.2655500000000042e-05 
CRITICAL:root:[2021-02-23 20:54:50.956702] Towers wt2 and wt1 spotted a threat. Coordinates [40.41286357796624; -86.9503443853668]
CRITICAL:root:[2021-02-23 20:54:50.956702] Tower wt2 dev = 9.144799999999918e-05 ; Tower wt1 dev = 8.718700000000072e-05 
CRITICAL:root:[2021-02-23 20:54:51.723825] Towers wt1 and wt2 spotted a threat. Coordinates [40.412786574864136; -86.95057282790306]
CRITICAL:root:[2021-02-23 20:54:51.723825] Tower wt1 dev = 0.0002668210000000004 ; Tower wt2 dev = 9.144799999999918e-05 
CRITICAL:root:[2021-02-23 20:54:52.887483] Towers wt1 and wt2 spotted a threat. Coordinates [40.41280605414688; -86.95051503936426]
CRITICAL:root:[2021-02-23 20:54:52.887483] Tower wt1 dev = 0.0002668210000000004 ; Tower wt2 dev = 0.00012566699999999945 
CRITICAL:root:[2021-02-23 20:54:54.016007] Towers wt2 and wt3 spotted a threat. Coordinates [40.4129853157427; -86.94984211829244]
CRITICAL:root:[2021-02-23 20:54:54.016007] Tower wt2 dev = 0.00012566699999999945 ; Tower wt3 dev = 1.0503999999999722e-05 
CRITICAL:root:[2021-02-23 20:54:55.004399] Towers wt3 and wt2 spotted a threat. Coordinates [40.41280672955975; -86.9493510062893]
CRITICAL:root:[2021-02-23 20:54:55.004399] Tower wt3 dev = 1.0503999999999722e-05 ; Tower wt2 dev = 6.0319999999995655e-06 
CRITICAL:root:[2021-02-23 20:54:55.998156] Towers wt3 and wt2 spotted a threat. Coordinates [40.41280672955975; -86.9493510062893]
CRITICAL:root:[2021-02-23 20:54:55.998156] Tower wt3 dev = 1.0503999999999722e-05 ; Tower wt2 dev = 6.0319999999995655e-06 
CRITICAL:root:[2021-02-23 20:54:57.156747] Towers wt2 and wt3 spotted a threat. Coordinates [40.41299166536209; -86.94985957974576]
CRITICAL:root:[2021-02-23 20:54:57.156747] Tower wt2 dev = 0.0001728255000000012 ; Tower wt3 dev = 1.0503999999999722e-05 
CRITICAL:root:[2021-02-23 20:54:58.095231] Towers wt2 and wt1 spotted a threat. Coordinates [40.41287492058165; -86.95031073560776]
CRITICAL:root:[2021-02-23 20:54:58.095231] Tower wt2 dev = 0.0001728255000000012 ; Tower wt1 dev = 0.00014155400000000033 
CRITICAL:root:[2021-02-23 20:54:59.152447] Towers wt2 and wt1 spotted a threat. Coordinates [40.41289662664739; -86.95024634094608]
CRITICAL:root:[2021-02-23 20:54:59.152447] Tower wt2 dev = 0.00023301549999999935 ; Tower wt1 dev = 0.00014155400000000033 
CRITICAL:root:[2021-02-23 20:55:00.007878] Towers wt1 and wt2 spotted a threat. Coordinates [40.41283473350915; -86.95042995725619]
CRITICAL:root:[2021-02-23 20:55:00.007878] Tower wt1 dev = 0.00032741650000000025 ; Tower wt2 dev = 0.00023301549999999935 
CRITICAL:root:[2021-02-23 20:55:01.142588] Towers wt1 and wt2 spotted a threat. Coordinates [40.412855746584555; -86.95036761846582]
CRITICAL:root:[2021-02-23 20:55:01.142588] Tower wt1 dev = 0.00032741650000000025 ; Tower wt2 dev = 0.00030935999999999984 
